2019-05-13 16:02:47,863; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:02:47,865; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:02:47,867; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:02:47,868; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 16:03:13,967; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:03:13,969; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:03:13,970; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:03:13,971; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 16:03:42,215; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:03:42,217; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:03:42,218; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:03:42,219; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 16:04:31,855; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:04:31,857; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:04:31,858; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:04:31,859; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 16:05:48,923; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:05:48,925; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:05:48,925; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:05:48,926; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 16:06:24,065; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 16:06:24,067; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 16:06:24,068; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 16:06:24,070; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 17:00:05,147; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 17:00:05,148; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 17:00:05,149; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 17:00:05,150; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-13 17:02:21,659; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-13 17:02:21,660; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-13 17:02:21,662; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-13 17:02:21,663; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-16 14:51:33,017; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-16 14:51:33,324; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-16 14:51:33,326; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-16 14:51:33,330; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-16 14:53:20,503; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-16 14:53:20,504; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-16 14:53:20,505; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-16 14:53:20,505; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-16 14:55:14,071; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-16 14:55:14,072; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-16 14:55:14,074; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-16 14:55:14,075; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-29 23:04:49,412; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-29 23:04:49,457; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-29 23:04:49,460; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-29 23:04:49,463; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-30 19:11:32,508; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-30 19:11:32,551; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-30 19:11:32,552; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-30 19:11:32,553; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-30 19:11:32,652; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-30 19:11:32,653; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-30 19:11:32,654; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-30 19:11:32,655; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-05-31 10:03:45,694; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-05-31 10:03:48,284; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
2019-05-31 10:03:48,288; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name less can't be aliased because it is another magic command.
2019-05-31 10:03:48,290; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name man can't be aliased because it is another magic command.
2019-06-06 16:45:33,175; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name clear can't be aliased because it is another magic command.
2019-06-06 16:45:33,467; root; ERROR; alias; alias.py; soft_define_alias(); 221; Invalid alias: The name more can't be aliased because it is another magic command.
