from,to,spans,traces
2018-06-27 00:00:00.0,2018-06-27 01:00:00.0,0,0
2018-06-27 01:00:00.0,2018-06-27 02:00:00.0,0,0
2018-06-27 02:00:00.0,2018-06-27 03:00:00.0,0,0
2018-06-27 03:00:00.0,2018-06-27 04:00:00.0,0,0
2018-06-27 04:00:00.0,2018-06-27 05:00:00.0,0,0
2018-06-27 05:00:00.0,2018-06-27 06:00:00.0,0,0
2018-06-27 06:00:00.0,2018-06-27 07:00:00.0,0,0
2018-06-27 07:00:00.0,2018-06-27 08:00:00.0,0,0
2018-06-27 08:00:00.0,2018-06-27 09:00:00.0,0,0
2018-06-27 09:00:00.0,2018-06-27 10:00:00.0,0,0
2018-06-27 10:00:00.0,2018-06-27 11:00:00.0,0,0
2018-06-27 11:00:00.0,2018-06-27 12:00:00.0,0,0
2018-06-27 12:00:00.0,2018-06-27 13:00:00.0,0,0
2018-06-27 13:00:00.0,2018-06-27 14:00:00.0,0,0
2018-06-27 14:00:00.0,2018-06-27 15:00:00.0,0,0
2018-06-27 15:00:00.0,2018-06-27 16:00:00.0,0,0
2018-06-27 16:00:00.0,2018-06-27 17:00:00.0,0,0
2018-06-27 17:00:00.0,2018-06-27 18:00:00.0,0,0
2018-06-27 18:00:00.0,2018-06-27 19:00:00.0,0,0
2018-06-27 19:00:00.0,2018-06-27 20:00:00.0,0,0
2018-06-27 20:00:00.0,2018-06-27 21:00:00.0,0,0
2018-06-27 21:00:00.0,2018-06-27 22:00:00.0,0,0
2018-06-27 22:00:00.0,2018-06-27 23:00:00.0,0,0
2018-06-27 23:00:00.0,2018-06-28 00:00:00.0,2350,945
2018-06-28 00:00:00.0,2018-06-28 01:00:00.0,6823,1958
2018-06-28 01:00:00.0,2018-06-28 02:00:00.0,2489,942
2018-06-28 02:00:00.0,2018-06-28 03:00:00.0,54,41
2018-06-28 03:00:00.0,2018-06-28 04:00:00.0,178,139
2018-06-28 04:00:00.0,2018-06-28 05:00:00.0,185,123
2018-06-28 05:00:00.0,2018-06-28 06:00:00.0,189,131
2018-06-28 06:00:00.0,2018-06-28 07:00:00.0,149,103
2018-06-28 07:00:00.0,2018-06-28 08:00:00.0,224,149
2018-06-28 08:00:00.0,2018-06-28 09:00:00.0,296,222
2018-06-28 09:00:00.0,2018-06-28 10:00:00.0,207,148
2018-06-28 10:00:00.0,2018-06-28 11:00:00.0,4135,1314
2018-06-28 11:00:00.0,2018-06-28 12:00:00.0,2030,546
2018-06-28 12:00:00.0,2018-06-28 13:00:00.0,13680,4565
2018-06-28 13:00:00.0,2018-06-28 14:00:00.0,11322,5011
2018-06-28 14:00:00.0,2018-06-28 15:00:00.0,16263,6014
2018-06-28 15:00:00.0,2018-06-28 16:00:00.0,20238,5813
2018-06-28 16:00:00.0,2018-06-28 17:00:00.0,13980,4941
2018-06-28 17:00:00.0,2018-06-28 18:00:00.0,19531,6620
2018-06-28 18:00:00.0,2018-06-28 19:00:00.0,19787,6700
2018-06-28 19:00:00.0,2018-06-28 20:00:00.0,18648,5840
2018-06-28 20:00:00.0,2018-06-28 21:00:00.0,16988,6271
2018-06-28 21:00:00.0,2018-06-28 22:00:00.0,17430,5436
2018-06-28 22:00:00.0,2018-06-28 23:00:00.0,3026,422
2018-06-28 23:00:00.0,2018-06-29 00:00:00.0,0,0
2018-06-29 00:00:00.0,2018-06-29 01:00:00.0,0,0
2018-06-29 01:00:00.0,2018-06-29 02:00:00.0,0,0
2018-06-29 02:00:00.0,2018-06-29 03:00:00.0,0,0
2018-06-29 03:00:00.0,2018-06-29 04:00:00.0,0,0
2018-06-29 04:00:00.0,2018-06-29 05:00:00.0,0,0
2018-06-29 05:00:00.0,2018-06-29 06:00:00.0,0,0
2018-06-29 06:00:00.0,2018-06-29 07:00:00.0,0,0
2018-06-29 07:00:00.0,2018-06-29 08:00:00.0,0,0
2018-06-29 08:00:00.0,2018-06-29 09:00:00.0,0,0
2018-06-29 09:00:00.0,2018-06-29 10:00:00.0,0,0
2018-06-29 10:00:00.0,2018-06-29 11:00:00.0,0,0
2018-06-29 11:00:00.0,2018-06-29 12:00:00.0,0,0
2018-06-29 12:00:00.0,2018-06-29 13:00:00.0,0,0
2018-06-29 13:00:00.0,2018-06-29 14:00:00.0,0,0
2018-06-29 14:00:00.0,2018-06-29 15:00:00.0,0,0
2018-06-29 15:00:00.0,2018-06-29 16:00:00.0,0,0
2018-06-29 16:00:00.0,2018-06-29 17:00:00.0,0,0
2018-06-29 17:00:00.0,2018-06-29 18:00:00.0,0,0
2018-06-29 18:00:00.0,2018-06-29 19:00:00.0,0,0
2018-06-29 19:00:00.0,2018-06-29 20:00:00.0,0,0
2018-06-29 20:00:00.0,2018-06-29 21:00:00.0,0,0
2018-06-29 21:00:00.0,2018-06-29 22:00:00.0,0,0
2018-06-29 22:00:00.0,2018-06-29 23:00:00.0,0,0
2018-06-29 23:00:00.0,2018-06-30 00:00:00.0,0,0
